Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg by Instr >= X%,Top Chg Len >= X%,Top Reached Chg Len >= X%,Hit/Dismiss
d9545c7f,8f449614,p0000-perf-lib-sanity.sh-perf-report,983,515,7,0.07,0.03,False,1.0,1.0,0
d9545c7f,8f449614,p0001-rev-list.sh-perf-report,983,515,16,12.49,3.2,False,1.0,1.0,0
d9545c7f,8f449614,p4000-diff-algorithms.sh-perf-report,983,515,14,0.22,0.14,False,1.0,1.0,0
d9545c7f,8f449614,p4001-diff-no-index.sh-perf-report,983,515,3,0.04,0.04,False,1.0,1.0,0
d9545c7f,8f449614,p4211-line-log.sh-perf-report,983,515,9,0.72,0.72,False,1.0,1.0,0
d9545c7f,8f449614,p5302-pack-index.sh-perf-report,983,515,20,0.26,0.07,False,1.0,1.0,1
d9545c7f,8f449614,p5310-pack-bitmaps.sh-perf-report,983,515,25,4.88,1.3,False,1.0,1.0,0
d9545c7f,8f449614,p7000-filter-branch.sh-perf-report,983,515,45,5.21,2.59,False,1.0,1.0,0
d9545c7f,8f449614,p7300-clean.sh-perf-report,983,515,10,10.54,0.42,False,1.0,1.0,0
d9545c7f,8f449614,p7810-grep.sh-perf-report,983,515,6,0.03,0.03,False,1.0,1.0,0
8f449614,12913a78,p0000-perf-lib-sanity.sh-perf-report,569,995,5,0.23,0.23,False,1.0,1.0,0
8f449614,12913a78,p0001-rev-list.sh-perf-report,569,995,12,12.7,3.05,False,1.0,1.0,0
8f449614,12913a78,p4000-diff-algorithms.sh-perf-report,569,995,10,1.99,0.6,False,1.0,1.0,0
8f449614,12913a78,p4001-diff-no-index.sh-perf-report,569,995,3,0.06,0.02,False,1.0,1.0,0
8f449614,12913a78,p4211-line-log.sh-perf-report,569,995,6,7.68,0.47,False,1.0,1.0,1
8f449614,12913a78,p5302-pack-index.sh-perf-report,569,995,18,0.4,0.4,False,1.0,1.0,0
8f449614,12913a78,p5310-pack-bitmaps.sh-perf-report,569,995,26,4.38,1.07,False,1.0,1.0,0
8f449614,12913a78,p7810-grep.sh-perf-report,569,995,7,0.03,0.03,False,1.0,1.0,1
2fc0f184,2e3926b9,p4000-diff-algorithms.sh-perf-report,84,123,2,1.95,0.66,False,1.0,1.0,0
2fc0f184,2e3926b9,p5302-pack-index.sh-perf-report,84,123,3,0.15,0.07,False,1.0,0.1,0
2fc0f184,2e3926b9,p7000-filter-branch.sh-perf-report,84,123,8,0.02,0.01,False,1.0,1.0,0
2e3926b9,fd9dbdfb,p5302-pack-index.sh-perf-report,114,74,3,0.16,0.08,False,1.0,0.1,0
2e3926b9,fd9dbdfb,p7000-filter-branch.sh-perf-report,114,74,7,0.02,0.01,False,1.0,1.0,0
05a5869a,17130a70,p5302-pack-index.sh-perf-report,114,74,4,0.15,0.07,False,1.0,1.0,0
05a5869a,17130a70,p7000-filter-branch.sh-perf-report,114,74,7,0.02,0.01,False,1.0,1.0,0
577dfd03,90a78b83,p0000-perf-lib-sanity.sh-perf-report,926,517,5,0.06,0.02,False,1.0,1.0,0
577dfd03,90a78b83,p0001-rev-list.sh-perf-report,926,517,10,12.3,0.29,False,1.0,1.0,0
577dfd03,90a78b83,p4000-diff-algorithms.sh-perf-report,926,517,17,2.01,0.64,False,1.0,1.0,0
577dfd03,90a78b83,p4001-diff-no-index.sh-perf-report,926,517,1,0.03,0.03,False,1.0,0.14814814814814814,0
577dfd03,90a78b83,p4211-line-log.sh-perf-report,926,517,8,8.34,0.92,False,1.0,1.0,0
577dfd03,90a78b83,p5302-pack-index.sh-perf-report,926,517,15,0.26,0.07,False,1.0,1.0,0
577dfd03,90a78b83,p5310-pack-bitmaps.sh-perf-report,926,517,26,4.99,0.82,False,1.0,1.0,0
577dfd03,90a78b83,p7000-filter-branch.sh-perf-report,926,517,46,4.65,2.27,False,1.0,1.0,0
577dfd03,90a78b83,p7300-clean.sh-perf-report,926,517,10,9.62,0.39,False,1.0,1.0,0
90a78b83,f831acc6,p0000-perf-lib-sanity.sh-perf-report,517,926,2,0.1,0.1,False,1.0,1.0,0
90a78b83,f831acc6,p0001-rev-list.sh-perf-report,517,926,3,12.68,0.34,False,1.0,1.0,0
90a78b83,f831acc6,p4000-diff-algorithms.sh-perf-report,517,926,5,1.72,0.68,False,1.0,1.0,0
90a78b83,f831acc6,p4001-diff-no-index.sh-perf-report,517,926,1,0.13,0.03,False,1.0,0.10256410256410256,0
90a78b83,f831acc6,p4211-line-log.sh-perf-report,517,926,1,5.57,0.64,False,1.0,1.0,1
